UNITID,INSTNM,IALIAS,ADDR,CITY,STABBR,ZIP,FIPS,OBEREG,CHFNM,CHFTITLE,GENTELE,EIN,UEIS,OPEID,OPEFLAG,WEBADDR,ADMINURL,FAIDURL,APPLURL,NPRICURL,VETURL,ATHURL,DISAURL,SECTOR,ICLEVEL,CONTROL,HLOFFER,UGOFFER,GROFFER,HDEGOFR1,DEGGRANT,HBCU,HOSPITAL,MEDICAL,TRIBAL,LOCALE,OPENPUBL,ACT,NEWID,DEATHYR,CLOSEDAT,CYACTIVE,POSTSEC,PSEFLAG,PSET4FLG,RPTMTH,INSTCAT,C21BASIC,C21IPUG,C21IPGRD,C21UGPRF,C21ENPRF,C21SZSET,C18BASIC,C15BASIC,CCBASIC,CARNEGIE,LANDGRNT,INSTSIZE,F1SYSTYP,F1SYSNAM,F1SYSCOD,CBSA,CBSATYPE,CSA,COUNTYCD,COUNTYNM,CNGDSTCD,LONGITUD,LATITUDE,DFRCGID,DFRCUSCG,YEAR
223922,Clarendon College, ,1122 College Drive,Clarendon,TX,79226,48,6,Mr. Texas Buckhaults,President,8068743571107,756055652,J1BAGVKCQZZ7,00355400,1,www.clarendoncollege.edu/, , , ,www.collegeforalltexans.com/apps/CollegeMoney/,www.clarendoncollege.edu/students/financial_aid.php, ,www.clarendoncollege.edu/advising,4,2,1,3,1,2,40,1,2,-2,2,2,43,1,A ,-2,-2,-2,1,1,1,1,1,4,9,3,0,1,1,2,8,8,1,40,2,2,2,-2,-2,-2,-2,-2,48129,Donley County,4813,-100.902421,34.944558,85,2,2022
224110,North Central Texas College,NCTC/North Central Texas Community College District/North Central Texas College District,1525 W California Street,Gainesville,TX,76240-4699,48,6,Brent Wallace,Chancellor,9406687731,751050382,LLLHSB9Z4ZE8,00355800,1,www.nctc.edu/,www.nctc.edu/admissions/index.html,www.nctc.edu/financial-aid/index.html,www.nctc.edu/catalog/admissions-information/general-admission-policy/admission-application.html,www.collegeforalltexans.com/apps/CollegeMoney/,www.nctc.edu/veteran-services/index.html,www.nctc.edu/financial-aid/consumer-information.html,www.nctc.edu/student-services/disability-services/index.html,4,2,1,3,1,2,40,1,2,-2,2,2,32,1,A ,-2,-2,-2,1,1,1,1,1,4,6,2,0,1,1,3,4,1,3,40,2,3,2,-2,-2,23620,2,206,48097,Cooke County,4813,-97.1658,33.6188,74,1,2022
224147,Texas A & M University-Corpus Christi, ,6300 Ocean Dr.,Corpus Christi,TX,78412-5503,48,6,Dr. Kelly Miller,President,3618255700,741760663,Y3RET2XN41S5,01116100,1,https://www.tamucc.edu/,https://www.tamucc.edu/admissions/,https://www.tamucc.edu/cost-and-aid/financial-aid/,https://www.tamucc.edu/admissions/apply.php,https://www.highered.texas.gov/apps/NPC/?Fice=011161,https://www.tamucc.edu/admissions/military-and-veterans/,https://www.tamucc.edu/cost-and-aid/financial-aid/islander-right-to-know.php,https://www.tamucc.edu/disability-services/,1,1,1,9,1,1,11,1,2,2,2,2,11,1,A ,-2,-2,-2,1,1,1,1,1,2,16,13,18,7,4,13,16,17,17,21,2,4,1,Texas A&M University System,148020,18580,1,204,48355,Nueces County,4827,-97.32395,27.713723,96,1,2022
224350,Del Mar College,DMC,101 Baldwin Blvd.,Corpus Christi,TX,78404-3897,48,6,"Mark Escamilla, Ph.D.",President,3616981200,746003102,NK9YF8C8KFJ8,00356300,1,www.delmar.edu/,www.delmar.edu/becoming-a-viking/apply/,www.delmar.edu/becoming-a-viking/afford/,www.delmar.edu/becoming-a-viking/apply/,www.delmar.edu/becoming-a-viking/afford/index.html, , ,www.delmar.edu/offices/disability/,1,1,1,5,1,2,30,1,2,2,2,2,11,1,A ,-2,-2,-2,1,1,1,1,1,3,7,3,0,1,1,3,7,4,3,40,2,3,2,-2,-2,18580,1,204,48355,Nueces County,4827,-97.40762,27.763619,187,1,2022
224545,Texas A&M University-Texarkana,A&M-Texarkana,7101 University Avenue,Texarkana,TX,75503,48,6,Emily Cutrer,President,9032233000,752655354, ,03170300,1,www.tamut.edu/,www.tamut.edu/Admissions,www.tamut.edu/Admissions/Enrollment-Services/Financial-Aid/index.html,https://www.applytexas.org/,www.collegeforalltexans.com/apps/CollegeMoney/, , ,www.tamut.edu/Academics/Student-Support/Disability-Services/index.html,1,1,1,9,1,1,12,1,2,2,2,2,41,1,A ,-2,-2,-2,1,1,1,1,1,2,19,13,12,7,4,9,19,19,18,21,2,2,1,Texas A&M University System,148020,45500,1,-2,48037,Bowie County,4804,-94.103617,33.490482,116,2,2022
224554,Texas A & M University-Commerce,A&M-Commerce,2200 Campbell Stree,Commerce,TX,75429-3011,48,6,Mark Rudin,President & CEO,8888682682,756001353,FRCKHD9EKUY9,00356500,1,www.tamuc.edu/,www.tamuc.edu/admissions/,www.tamuc.edu/admissions/tuitionCosts/financialAidandScholarships/,www.applytexas.org/,www.collegeforalltexans.com/apps/CollegeMoney/, ,www.tamuc.edu/admissions/registrar/generalInformation/student-right-to-know.aspx,www.tamuc.edu/student-disability-services/?source=universalmenu,1,1,1,9,1,1,12,1,2,2,2,2,32,1,A ,-2,-2,-2,1,1,1,1,1,2,17,11,18,7,4,13,17,16,17,16,2,4,1,Texas A&M University System,148020,19100,1,206,48231,Hunt County,4804,-95.904579,33.242112,98,1,2022
224615,Dallas College, ,1601 Botham Jean Blvd.,Dallas,TX,75215-3604,48,6,Dr. Justin Lonon,Chancellor,9726696400,751213149,RMY3LXEM29P3,00445300,1,www.dallascollege.edu/pages/default.aspx,www.dallascollege.edu/admissions/pages/default.aspx,www.dallascollege.edu/paying-for-college/financial-aid/pages/default.aspx,www.dallascollege.edu/admissions/application/pages/default.aspx,www.dallascollege.edu/paying-for-college/cost-tuition/pages/tuition-calculator.aspx#in-county,www.dallascollege.edu/resources/veterans/pages/tuition-waiver.aspx, ,www.dallascollege.edu/resources/accessibility-services/pages/default.aspx,1,1,1,5,1,2,30,1,2,2,2,2,11,1,A ,-2,-2,-2,1,1,1,1,1,3,6,2,0,1,1,5,9,6,7,40,2,5,2,-2,-2,19100,1,206,48113,Dallas County,4830,-96.794036,32.766319,186,2,2022
224642,El Paso Community College, ,9050 Viscount Blvd,El Paso,TX,79925-6507,48,6,Dr. William Serrata,President,9158312000,741690850,S8LXMMGHNMG9,01038700,1,www.epcc.edu/,www.epcc.edu/Admissions,www.epcc.edu/Admissions/FinancialAid,www.epcc.edu/Admissions/enrollment-checklist,www.epcc.edu/Admissions/FinancialAid/how-awards-are-determined,www.epcc.edu/Services/Military,www.epcc.edu/Services/Athletics,www.epcc.edu/Services/csd,4,2,1,3,1,2,40,1,2,-2,2,2,11,1,A ,-2,-2,-2,1,1,1,1,1,4,1,1,0,1,1,5,1,1,7,40,2,5,2,-2,-2,21340,1,238,48141,El Paso County,4816,-106.373616,31.773359,59,1,2022
224891,Frank Phillips College,FPC,1301 W. Roosevelt St.,Borger,TX,79008-5118,48,6,Dr. Glendon Forgey,President,8064574200,756001630,WGASX9FUY5C4,00356800,1,www.fpctx.edu/,fpctx.edu/admissions/,fpctx.edu/financial-services/,https://www.applytexas.org/adappc/gen/c_start.WBX,www.highered.texas.gov/apps/NPC/?Fice=003568,https://fpctx.edu/financial-services/#veterans,fpctx.edu/wp-content/uploads/2018/07/Campus-Security-Other-Govt-Mandated-Info-11-17-2017.pdf,fpctx.edu/academics/special-accomodations/,4,2,1,3,1,2,40,1,2,-2,2,2,32,1,A ,-2,-2,-2,1,1,1,1,1,4,3,1,0,1,1,2,3,9,1,40,2,2,2,-2,-2,14420,2,108,48233,Hutchinson County,4813,-101.406005,35.657778,67,1,2022
224961,Galveston College, ,4015 Ave Q,Galveston,TX,77550-7496,48,6,Dr. W. Myles Shelton,President,4099441220,741561720,QPEUR8N8KSU9,00497200,1,https://www.gc.edu/,https://www.gc.edu/admissions,https://www.gc.edu/financial-aid,https://www.goapplytexas.org/,www.highered.texas.gov/apps/NPC/?Fice=006662, , ,https://gc.edu/students/advising-and-counseling-center/students-with-special-needs.php,1,1,1,5,1,2,30,1,2,2,2,2,31,1,A ,-2,-2,-2,1,1,1,1,1,3,8,3,0,1,1,2,5,6,2,40,2,2,2,-2,-2,26420,1,288,48167,Galveston County,4814,-94.807686,29.284735,189,2,2022
225070,Grayson College, ,6101 Grayson Drive,Denison,TX,75020-8299,48,6,Dr.  Jeremy McMillen,President,9034152592,751169719,NPMZBNRRLM53,00357000,1,grayson.edu/,https://grayson.edu/Apply/enrollment-steps.html,https://grayson.edu/FinancialAid/index.html,https://gcapp.grayson.edu/,https://grayson.edu/FinancialAid/net-price-calculator.html,https://grayson.edu/FinancialAid/Veterans Services Office/your-benefits-at-grayson.html,grayson.edu/Public Notices/student-notices--right-to-know.html,www.grayson.edu/gettingstarted/advising/Students with Disabilities.html,1,1,1,5,1,2,30,1,2,2,2,2,41,1,A ,-2,-2,-2,1,1,1,1,1,3,8,3,0,1,1,3,5,5,2,40,2,2,2,-2,-2,43300,1,206,48181,Grayson County,4804,-96.633891,33.70574,188,1,2022
225308,Trinity Valley Community College,TVCC,100 Cardinal Drive,Athens,TX,75751,48,6,Dr. Jerry King,President,9036756200,756001769,X6HBCED7NLJ8,00357200,1,www.tvcc.edu/,www.tvcc.edu/Registrar/?d=222,www.tvcc.edu/financial-aid/?d=204,www.applytexas.org/,www.collegeforalltexans.com/apps/CollegeMoney/, ,www.tvcc.edu/Financial-Aid/category.aspx?z=794,www.tvcc.edu/Cardinal-Success-Center/category.aspx?z=614,1,1,1,5,1,2,30,1,2,2,2,2,32,1,A ,-2,-2,-2,1,1,1,1,1,3,4,2,0,1,1,3,6,6,5,40,2,3,2,-2,-2,11980,2,206,48213,Henderson County,4805,-95.858513,32.196596,188,1,2022
225371,Hill College, ,112 Lamar Dr,Hillsboro,TX,76645,48,6,Dr. Thomas Mills,President,2546597500,741404239,GU43JHED69D3,00357300,1,https://www.hillcollege.edu/,https://www.hillcollege.edu/Admissions_Aid/ApplyNow/Index.html,https://www.hillcollege.edu/Admissions_Aid/FinancialAid/About-FA.html,https://www.hillcollege.edu/Admissions_Aid/ApplyNow/Index.html,https://www.hillcollege.edu/Admissions_Aid/FinancialAid/NetPriceCalc.html,www.hillcollege.edu/Admissions_Aid/Admissions/Veteran.html, ,https://www.hillcollege.edu/Student/Advising/ADA.html,4,2,1,3,1,2,40,1,2,-2,2,2,32,1,A ,-2,-2,-2,1,1,1,1,1,4,3,1,0,1,1,3,6,8,2,40,2,2,2,-2,-2,-2,-2,-2,48217,Hill County,4825,-97.088332,32.010928,66,1,2022
225414,University of Houston-Clear Lake,UHCL,2700 Bay Area Blvd,Houston,TX,77058-1002,48,6,Dr. Richard Walker,President,2812837600,746001399,RD74AUNCTZJ1,01171100,1,www.uhcl.edu/,www.uhcl.edu/admissions,www.uhcl.edu/costs-aid/,https://www.applytexas.org/adappc/gen/c_start.WBX,uhcl.studentaidcalculator.com/survey.aspx,www.uhcl.edu/veteran-services/, ,www.uhcl.edu/disability-services/,1,1,1,9,1,1,12,1,2,2,2,2,21,1,A ,-2,-2,-2,1,1,1,1,1,2,17,14,12,5,4,12,18,18,18,21,2,3,1,University of Houston System,148070,26420,1,288,48201,Harris County,4836,-95.098129,29.582523,98,1,2022
225423,Houston Community College,HCC,3100 Main Street,Houston,TX,77002,48,6,Dr. Cesar Maldonado,Chancellor,8774226111,741709152,D1NQPM4XCZS4,01063300,1,www.hccs.edu/,www.hccs.edu/applying-and-paying/,www.hccs.edu/applying-and-paying/financial-aid/,https://www.hccs.edu/applying-and-paying/,https://www.highered.texas.gov/apps/NPC/?Fice=010633,https://www.hccs.edu/support-services/veteran-affairs/, ,www.hccs.edu/support-services/ability-services/,4,2,1,3,1,2,40,1,2,-2,2,2,11,1,A ,-2,-2,-2,1,1,1,1,1,4,1,1,0,1,1,5,1,1,7,40,2,5,2,-2,-2,26420,1,288,48201,Harris County,4818,-95.377319,29.742114,59,1,2022
225432,University of Houston-Downtown, ,1 Main Street,Houston,TX,77002-1014,48,6,Loren J. Blanchard,President,7132218000,746001399,D7Q8JLAJU3M4,00361200,1,www.uhd.edu/,www.uhd.edu/admissions/,www.uhd.edu/financial/,www.uhd.edu/admissions/apply/Pages/admissions-application.aspx,www.uhd.edu/financial/cost/Pages/financial-cost-calculator.aspx,www.uhd.edu/veterans/, ,www.uhd.edu/student-life/disability/Pages/disability-index.aspx,1,1,1,7,1,1,20,1,2,2,2,2,11,1,A ,-2,-2,-2,1,1,1,1,1,2,18,13,7,5,3,12,18,20,22,32,2,4,1,University of Houston System,148070,26420,1,288,48201,Harris County,4818,-95.359338,29.7661,104,1,2022
225502,University of Houston-Victoria,UH-Victoria,3007 N. Ben Wilson,Victoria,TX,77901,48,6,Robert K Glenn,President,3615704848,746001399,G73MUVS5DL59,01323100,1,www.uhv.edu/,www.uhv.edu/admissions-at-uhv/,www.uhv.edu/financial-aid/,www.uhv.edu/apply/default.aspx,www.collegeforalltexans.com/apps/CollegeMoney/,www.uhv.edu/financial-aid/veterans/, ,www.uhv.edu/disability-services/,1,1,1,7,1,1,20,1,2,2,2,2,13,1,A ,-2,-2,-2,1,1,1,1,1,2,18,13,7,5,5,13,18,18,18,21,2,2,1,University of Houston System,148070,47020,1,544,48469,Victoria County,4827,-96.976334,28.816248,108,1,2022
225511,University of Houston,UH,212 E. Cullen Building,Houston,TX,77204-2018,48,6,Dr. Renu Khator,Chancellor/President,7137431000,746001399,PH6HQZLPA687|G1JCVZH116P4|QKWEF8XLMTT3,00365200,1,www.uh.edu/,www.uh.edu/admissions/,www.uh.edu/financial/,uh.edu/undergraduate-admissions/apply/index,www.uh.edu/financial/net-price-calculator/, ,www.ncaa.org/about/resources/research/graduation-rates,uh.edu/accessibility/,1,1,1,9,1,1,11,1,2,2,2,2,11,1,A ,-2,-2,-2,1,1,1,1,1,2,15,17,15,9,4,15,15,15,15,15,2,5,1,University of Houston System,148070,26420,1,288,48201,Harris County,4818,-95.343537,29.720393,90,1,2022
225520,Howard College,Howard County Junior College,1001 Birdwell Lane,Big Spring,TX,79720,48,6,Cheryl T. Sparks,President,4322645000,756001827,MCJ7X5JPVK79,00357400,1,https://www.howardcollege.edu/,https://howardcollege.edu/futurehawk-admissions/,https://howardcollege.edu/students/financial-aid-and-scholarships/,https://www.applytexas.org/adappc/gen/c_start.WBX,www.collegeforalltexans.com/apps/CollegeMoney/,https://howardcollege.edu/come-to-howard-college/veterans/,https://howardcollege.edu/home/about/consumer-information/,https://howardcollege.edu/ada/,4,2,1,3,1,2,40,1,2,-2,2,2,32,1,A ,-2,-2,-2,1,1,1,1,1,4,6,2,0,1,1,2,3,1,2,40,2,2,2,-2,-2,13700,2,-2,48227,Howard County,4819,-101.450104,32.252292,75,1,2022
226019,Kilgore College, ,1100 Broadway,Kilgore,TX,75662-3299,48,6,Brenda Kays,President,9039848531,756001909,MDWMDUKA6RB3,00358000,1,https://www.kilgore.edu/,https://www.kilgore.edu/future-students/new-students-start-here,https://www.kilgore.edu/future-students/offices-student-services/financial-aid,https://www.kilgore.edu/future-students/new-students-start-here,https://www.kilgore.edu/future-students/new-students-start-here,https://www.kilgore.edu/future-students/student-services/financial-aid/veterans-education-benefits,https://www.kilgore.edu/node/6291,https://www.kilgore.edu/current-students/student-services/disability-services,4,2,1,3,1,2,40,1,2,-2,2,2,31,1,A ,-2,-2,-2,1,1,1,1,1,4,5,2,0,2,1,3,7,4,2,40,2,3,2,-2,-2,30980,1,-2,48183,Gregg County,4801,-94.871468,32.377821,71,1,2022
226091,Lamar University, ,4400 MLK Blvd,Beaumont,TX,77705,48,6,Jaime Taylor,President,4098807011,746000298,MEYGUN6CCN16,00358100,1,www.lamar.edu/,www.lamar.edu/admissions/,www.lamar.edu/financial-aid/,www.applytexas.org/,www.lamar.edu/financial-aid/cost-calculator.html,www.lamar.edu/financial-aid/veterans-affairs/index.html, ,www.lamar.edu/disability-resource-center/,1,1,1,9,1,1,11,1,2,2,2,2,12,1,A ,-2,-2,-2,1,1,1,1,1,2,17,13,18,5,5,13,17,17,17,21,2,4,1,Texas State University System,148040,13140,1,-2,48245,Jefferson County,4814,-94.072244,30.042738,98,1,2022
226107,Lamar State College-Orange, ,410 Front St,Orange,TX,77630,48,6,Thomas Johnson,President,4098837750,746000298,Q7APNYVYYN69,02358200,1,www.lsco.edu/,https://www.lsco.edu/admissions/admission-requirements.asp,https://www.lsco.edu/financialaid/financialaid.asp,https://www.applytexas.org/,www.collegeforalltexans.com/apps/CollegeMoney/,www.lsco.edu/veteransaffairs/veteransaffairs.asp, ,www.lsco.edu/advising/disability.asp,4,2,1,4,1,2,40,1,2,-2,2,2,22,1,A ,-2,-2,-2,1,1,1,1,1,4,8,3,0,1,1,2,8,7,2,40,2,2,1,Texas State University System,148040,13140,1,-2,48361,Orange County,4836,-93.732235,30.0922,81,2,2022
226116,Lamar State College-Port Arthur, ,1500 Proctor St,Port Arthur,TX,77640,48,6,Dr. Betty Reynard,President,4099846342,760658056,JKHNZG2U4F51,02348500,1,www.lamarpa.edu/,www.lamarpa.edu/Future-Students/Admission-Information,www.lamarpa.edu/Current-Students/Financial-Aid,https://www.applytexas.org/,https://www.highered.texas.gov/apps/NPC/?Fice=023485,www.lamarpa.edu/Current-Students/Financial-Aid/Requirements/Veteran-Assistance,www.lamarpa.edu/About-LSCPA/Student-Right-to-Know,www.lamarpa.edu/Current-Students/Student-Information/Admission-Resources/Special-Populations,4,2,1,3,1,2,40,1,2,-2,2,2,13,1,A ,-2,-2,-2,1,1,1,1,1,4,7,3,0,1,1,2,7,10,2,40,2,2,1,Texas State University System,148040,13140,1,-2,48245,Jefferson County,4814,-93.925886,29.880385,78,1,2022
226134,Laredo College, ,West End Washington St,Laredo,TX,78040-4395,48,6,Dr. Minita Ramirez,President,9567215140,746001582,KK7FY72Q8B41,00358200,1,www.laredo.edu/,www.laredo.edu/cms/admission.aspx,www.laredo.edu/cms/fa/,www.laredo.edu/cms/LCC/Admission/Apply_Now/,www.laredo.edu/financialaid/fa_calc.htm, ,www.laredo.edu/cms/LCC/About_LCC/Institutional_Research_and_Planning/Institutional_Research_and_Planning/,www.laredo.edu/cms/LCC/Student_Services/Special_Services_Center/Special_Services_Center/,1,1,1,5,1,2,30,1,2,2,2,2,11,1,A ,-2,-2,-2,1,1,1,1,1,3,14,5,0,5,2,12,4,4,3,40,2,3,2,-2,-2,29700,1,-2,48479,Webb County,4828,-99.520772,27.506477,187,2,2022
226152,Texas A & M International University, ,5201 University Blvd,Laredo,TX,78041-1900,48,6,Pablo Arenaz,President,9563262001,741761398,XHHLMNNVJ2H9,00965100,1,www.tamiu.edu/,www.tamiu.edu/admissions,www.tamiu.edu/financialaid/,www.applytexas.org/,www.collegeforalltexans.com/apps/CollegeMoney/,www.tamiu.edu/registrar/veterans.shtml,www.tamiu.edu/athleticcompliance/Graduation.shtml,www.tamiu.edu/disability/,1,1,1,9,1,1,12,1,2,2,2,2,11,1,A ,-2,-2,-2,1,1,1,1,1,2,18,13,13,11,4,12,18,18,18,21,2,3,1,Texas A&M University System,148020,29700,1,-2,48479,Webb County,4828,-99.436043,27.571172,105,1,2022
